ID,upstreamDB,upstream,lifecycle,projectName,element,location,material,height,length,width,area,volume,mass,epicMaterial,epicUnit,epicEmbodiedEnergy,epicEmbodiedWater,embodiedEmission,density,embodiedEnergy,embodiedWater,embodiedEmission,manuDate,manuPlace,installDate,removalDate,owner,value,connection,remarks,modifiedDate
1038,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on foundation (9),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1026,,21.06.2023
1039,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on internal foundation - east (10),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1027,,21.06.2023
1040,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on internal foundation - west (11),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1028,,21.06.2023
1041,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on internal foundation - south(12),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1029,,21.06.2023
1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
